1,441,Adenawer ,González ,Fierros ,PAN,adenawer.gonzalez@congresojal.gob.mx,3336791508,"1603, 1677",Sala A2,Distrito 13,"Zapopan, San Pedro Tlaquepaque",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ADENAWER__GONZALEZ__FIERROS_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=441
2,589,Adriana,Delgadillo,García,MORENA,adriana.delgadillo@congresojal.gob.mx,3336791557,"1661, 5557",Sala W1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ADRIANA_DELGADILLO_GARCRA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=589
3,575,Ady Dianela,Segura,González,MC,ady.segura@congresojal.gob.mx,3336791574,"1561, 5574",Sala K,Distrito 14,Guadalajara,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ADY_DIANELA_SEGURA_GONZALEZ.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=575
4,560,Ana Lidia,Sandoval,García,MC,ana.sandoval@congresojal.gob.mx,3336791523,1623,Sala T1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/ANA_LIDIA_SANDOVAL_GARCIA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=560
5,468,Bernardo,Macklis,Petrini,MC,bernardo.macklis@congresojal.gob.mx,3336791500,"1535, 1517",Sala Q,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/BERNARDO_MACKLIS_PETRINI.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=468
6,586,Carlos Eduardo ,Sánchez,Carrillo ,PAN,lalo.sanchez@congresojal.gob.mx,3336791521,"1621, 5521",Sala I,Distrito 15,"Atotonilco el Alto, Ayotlán, La Barca, Degollado, Jamay, Ocotlán, Poncitlán, Tototlán, Zapotlán del Rey",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/CARLOS_EDUARDO__SANCHEZ_CARRILLO_.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=586
7,442,Cinthya Guadalupe,Pérez,Rivera,MORENA,cinthya.perez@congresojal.gob.mx,3336791500,"1684, 1516",Sala B1,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/CINTHYA_GUADALUPE_PEREZ_RIVERA.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=442
8,587,Cuauhtémoc,Salazar,Guzmán,MORENA,cuauhtemoc.salazar@congresojal.gob.mx,3336791550,"1010, 1654",Sala F,Plurinominal,,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/CUAUHTEMOC_SALAZAR_GUZMAN.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=587
9,594,Daniel ,Robles  ,De León,MC,daniel.robles@congresojal.gob.mx,3336791618,5517,Sala G2,Distrito 20,"Acatic, Juanacatlán, El Salto, Tonalá, Zapotlanejo",https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/DANIEL__ROBLES___DE_LEON.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=594
10,462,Daniella Judith,Hernández,Flores,MC,daniella.hernandez@congresojal.gob.mx,3336791500,"1617, 1517",Sala G1,Distrito 06,Zapopan,https://transparencia.congresojal.gob.mx/repositorio/fotos_diputados/DANIELLA_JUDITH_HERNANDEZ_FLORES.jpg,https://www.congresojal.gob.mx/diputados/perfil?id_dip=462
